user_id,user_name,user_role,activity_date,login_time,access_count,resource_type,label
U009,user009,Sales,2025-05-18,08:01,14,Customer,normal
U002,user002,Finance,2025-05-09,08:43,25,Confidential,normal
U015,user015,Admin,2025-05-03,09:55,50,General,normal
U010,user010,Admin,2025-05-03,09:19,48,Finance,anomalous
U020,user020,Admin,2025-05-07,07:36,56,Admin,anomalous
U012,user012,Finance,2025-05-04,07:31,26,Finance,normal
U015,user015,Admin,2025-05-15,06:36,37,Confidential,normal
U003,user003,Engineering,2025-05-05,07:24,45,General,normal
U007,user007,Finance,2025-05-19,07:37,32,Finance,normal
U013,user013,Engineering,2025-05-09,09:43,207,Confidential,anomalous
U001,user001,HR,2025-05-28,10:41,165,General,anomalous
U001,user001,HR,2025-05-24,09:56,14,HR,normal
U004,user004,Sales,2025-05-05,07:39,28,Customer,normal
U016,user016,HR,2025-05-07,09:53,27,General,normal
U019,user019,Sales,2025-05-24,07:52,191,General,anomalous
U011,user011,HR,2025-05-23,09:44,7,HR,anomalous
U020,user020,Admin,2025-05-12,07:29,101,Confidential,anomalous
U004,user004,Sales,2025-05-26,08:20,201,Confidential,anomalous
U004,user004,Sales,2025-05-08,08:12,96,Confidential,anomalous
U006,user006,HR,2025-05-13,08:48,49,Confidential,anomalous
U009,user009,Sales,2025-05-05,07:32,24,Customer,normal
U005,user005,Admin,2025-05-09,09:36,62,General,normal
U013,user013,Engineering,2025-05-25,09:00,257,SourceCode,anomalous
U016,user016,HR,2025-05-27,10:36,42,HR,normal
U007,user007,Finance,2025-05-11,10:07,196,Finance,anomalous
U001,user001,HR,2025-05-12,09:22,69,Finance,anomalous
U003,user003,Engineering,2025-05-05,10:21,362,Engineering,anomalous
U011,user011,HR,2025-05-23,08:54,196,Confidential,anomalous
U016,user016,HR,2025-05-27,09:11,17,General,normal
U018,user018,Engineering,2025-05-07,07:26,31,Engineering,normal
U007,user007,Finance,2025-05-27,08:08,9,Customer,anomalous
U020,user020,Admin,2025-05-19,06:46,156,Admin,anomalous
U014,user014,Sales,2025-05-13,08:47,11,General,normal
U004,user004,Sales,2025-05-21,08:16,13,Customer,normal
U008,user008,Engineering,2025-05-26,10:58,68,Engineering,normal
U004,user004,Sales,2025-05-18,09:54,8,Admin,normal
U004,user004,Sales,2025-05-08,07:04,16,General,normal
U001,user001,HR,2025-05-10,10:31,71,Confidential,anomalous
U005,user005,Admin,2025-05-03,08:11,25,Admin,normal
U016,user016,HR,2025-05-28,11:34,12,General,normal
U018,user018,Engineering,2025-05-25,10:28,33,SourceCode,normal
U006,user006,HR,2025-05-15,09:31,37,Confidential,normal
U009,user009,Sales,2025-05-02,07:27,230,SourceCode,anomalous
U009,user009,Sales,2025-05-01,07:40,69,Customer,anomalous
U017,user017,Finance,2025-05-11,09:50,34,General,anomalous
U019,user019,Sales,2025-05-06,07:58,21,General,normal
U019,user019,Sales,2025-05-19,09:35,44,Customer,normal
U017,user017,Finance,2025-05-25,07:02,270,SourceCode,anomalous
U008,user008,Engineering,2025-05-26,10:44,41,Engineering,normal
U015,user015,Admin,2025-05-18,08:15,51,HR,anomalous
U011,user011,HR,2025-05-07,08:30,27,HR,normal
U008,user008,Engineering,2025-05-28,07:46,59,Confidential,normal
U020,user020,Admin,2025-05-04,08:15,155,SourceCode,anomalous
U005,user005,Admin,2025-05-18,07:40,15,General,normal
U009,user009,Sales,2025-05-27,07:38,28,General,normal
U005,user005,Admin,2025-05-18,08:38,54,General,normal
U018,user018,Engineering,2025-05-09,08:52,48,Engineering,normal
U008,user008,Engineering,2025-05-20,07:37,74,Engineering,normal
U003,user003,Engineering,2025-05-02,10:29,69,Engineering,normal
U019,user019,Sales,2025-05-07,08:06,61,Finance,anomalous
U008,user008,Engineering,2025-05-12,09:17,67,SourceCode,normal
U009,user009,Sales,2025-05-23,07:13,96,Confidential,anomalous
U020,user020,Admin,2025-05-17,07:55,25,Confidential,normal
U018,user018,Engineering,2025-05-13,09:48,210,SourceCode,anomalous
U016,user016,HR,2025-05-25,09:36,30,HR,normal
U015,user015,Admin,2025-05-19,07:08,48,Confidential,normal
U016,user016,HR,2025-05-14,09:34,16,General,normal
U007,user007,Finance,2025-05-04,07:25,37,General,normal
U009,user009,Sales,2025-05-23,08:39,237,Finance,anomalous
U018,user018,Engineering,2025-05-04,08:40,56,Engineering,normal
