user_id,user_name,user_role,activity_date,login_time,access_count,resource_type,label
U009,user009,Sales,2025-05-16,08:18,40,Customer,normal
U008,user008,Engineering,2025-05-08,10:09,40,Confidential,normal
U003,user003,Engineering,2025-05-25,10:52,86,Confidential,normal
U015,user015,Admin,2025-05-20,06:57,24,Admin,normal
U015,user015,Admin,2025-05-27,07:01,34,Customer,normal
U008,user008,Engineering,2025-05-10,09:29,39,Engineering,normal
U019,user019,Sales,2025-05-02,09:53,29,General,normal
U010,user010,Admin,2025-05-01,08:35,33,Admin,normal
U003,user003,Engineering,2025-05-29,11:22,69,Engineering,normal
U020,user020,Admin,2025-05-06,06:37,28,Confidential,normal
U008,user008,Engineering,2025-05-21,06:29,20,Engineering,normal
U007,user007,Finance,2025-05-28,07:41,30,Confidential,normal
U020,user020,Admin,2025-05-16,08:33,33,HR,normal
U010,user010,Admin,2025-05-22,08:42,41,SourceCode,normal
U008,user008,Engineering,2025-05-04,11:17,65,SourceCode,normal
U016,user016,HR,2025-05-17,08:47,30,HR,normal
U020,user020,Admin,2025-05-03,08:47,42,Admin,normal
U016,user016,HR,2025-05-22,11:34,11,HR,normal
U009,user009,Sales,2025-05-09,07:18,32,SourceCode,normal
U018,user018,Engineering,2025-05-14,09:14,73,General,normal
U008,user008,Engineering,2025-05-23,07:46,64,Engineering,normal
U015,user015,Admin,2025-05-22,08:50,36,General,normal
U001,user001,HR,2025-05-22,09:31,25,Confidential,normal
U017,user017,Finance,2025-05-19,08:15,32,Finance,normal
U016,user016,HR,2025-05-05,09:53,18,Admin,normal
U019,user019,Sales,2025-05-17,06:56,17,Customer,normal
U013,user013,Engineering,2025-05-15,10:50,54,SourceCode,normal
U017,user017,Finance,2025-05-11,09:52,25,Finance,normal
U009,user009,Sales,2025-05-21,08:52,33,Customer,normal
U001,user001,HR,2025-05-06,09:33,10,Admin,normal
U001,user001,HR,2025-05-15,09:07,26,HR,normal
U011,user011,HR,2025-05-03,07:36,36,General,normal
U004,user004,Sales,2025-05-24,09:05,46,Admin,normal
U013,user013,Engineering,2025-05-30,11:25,85,General,normal
U012,user012,Finance,2025-05-15,08:24,26,Customer,normal
U008,user008,Engineering,2025-05-27,11:32,51,General,normal
U010,user010,Admin,2025-05-27,08:08,49,General,normal
U009,user009,Sales,2025-05-02,07:03,35,Customer,normal
U016,user016,HR,2025-05-24,10:07,14,HR,normal
U014,user014,Sales,2025-05-06,09:35,21,Customer,normal
U015,user015,Admin,2025-05-11,08:23,35,General,normal
U018,user018,Engineering,2025-05-08,06:34,68,General,normal
U002,user002,Finance,2025-05-20,08:48,34,General,normal
U011,user011,HR,2025-05-13,10:49,26,Confidential,normal
U015,user015,Admin,2025-05-08,09:22,20,Admin,normal
U012,user012,Finance,2025-05-07,08:10,34,General,normal
U020,user020,Admin,2025-05-18,07:45,29,General,normal
U004,user004,Sales,2025-05-18,09:41,24,Customer,normal
U013,user013,Engineering,2025-05-08,11:46,50,HR,normal
U015,user015,Admin,2025-05-30,08:14,35,HR,normal
U010,user010,Admin,2025-05-21,08:35,45,Admin,normal
U020,user020,Admin,2025-05-18,06:30,42,Admin,normal
U001,user001,HR,2025-05-08,10:27,4,Confidential,normal
U020,user020,Admin,2025-05-11,07:38,35,Confidential,normal
U018,user018,Engineering,2025-05-28,09:48,63,General,normal
U008,user008,Engineering,2025-05-17,08:55,67,Engineering,normal
U010,user010,Admin,2025-05-20,08:44,24,Admin,normal
U005,user005,Admin,2025-05-25,08:57,47,General,normal
U002,user002,Finance,2025-05-04,05:10,22,Admin,normal
U009,user009,Sales,2025-05-16,08:57,24,Customer,normal
U006,user006,HR,2025-05-17,09:27,13,HR,normal
U006,user006,HR,2025-05-22,08:58,22,HR,normal
U016,user016,HR,2025-05-19,09:31,28,HR,normal
U012,user012,Finance,2025-05-05,10:05,12,Finance,normal
U001,user001,HR,2025-05-10,10:39,8,Admin,normal
U002,user002,Finance,2025-05-25,08:40,29,Confidential,normal
U013,user013,Engineering,2025-05-02,10:01,43,Customer,normal
U009,user009,Sales,2025-05-04,08:58,20,Customer,normal
U019,user019,Sales,2025-05-02,06:00,31,General,normal
U003,user003,Engineering,2025-05-02,11:37,73,General,normal
